PRS_ID,N_TARGET_VARS,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
PGS000099,25715,1,1,1,1,1,1,1,1,1,1,1
PGS000174,179,1,1,0.61,1,0.93,1,0.93,1,0.9,0.89,0.95
PGS001219,11857,1,1,1,1,1,1,1,1,1,1,1
PGS001989,41312,1,1,1,1,1,1,1,1,1,1,1
PGS002206,492546,1,1,1,1,1,1,1,1,1,1,1
PGS002339,1086042,1,1,1,1,1,1,1,1,1,1,1
PGS002371,902812,0.97,0.96,0.9,0.97,1,0.97,1,0.94,0.93,0.92,0.93
PGS002411,12092,1,1,1,1,1,1,1,1,1,1,0.99
PGS002460,23785,1,1,0.99,1,1,1,1,1,1,1,1
PGS002509,63664,1,1,1,1,1,1,1,1,1,1,1
PGS002558,4606,1,1,0.98,1,1,1,1,1,0.95,0.98,0.87
PGS002607,2614,1,1,0.9,1,1,1,1,1,0.97,0.99,1
PGS002656,239694,1,1,0.94,1,1,1,1,1,1,1,1
PGS002705,845172,1,1,1,1,1,1,1,1,1,1,1
PGS003560,624958,1,1,1,1,1,1,1,1,0.98,0.98,1
